Category,Title,Price,Description
static,Acer Predator...,$1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home"
static,Galaxy Note 10...,$587.99,"10.1"", 32GB, Black"
static,ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit"
static,Lenovo Legion...,$1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS"
static,Iphone,$899.99,Silver
static,Lenovo V510 Bl...,$498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro"
static,Prestigio Smar...,$299,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam"
static,ThinkPad T540p,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit"
static,Acer Aspire A5...,$679,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG"
static,Dell Latitude...,$1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux"
static,Aspire E1-572G,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1"
static,Pavilion,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1"
static,ThinkPad Yoga,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows"
static,Acer Aspire ES...,$469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home"
static,Lenovo Yoga 91...,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home"
static,ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit"
static,Apple iPad Air,$603.99,"Wi-Fi, 64GB, Silver"
static,Prestigio Smar...,$299,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam"
static,IdeaTab A8-50,$121.99,"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2"
static,Dell Latitude...,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home"
static,Galaxy Tab 3,$107.99,"7"", 8GB, Wi-Fi, Android 4.2, Yellow"
static,ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit"
static,Hewlett Packar...,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro"
static,Dell Latitude...,$1110.14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home"
static,Dell Latitude...,$1187.88,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro"
static,Asus VivoBook...,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd"
static,Acer Swift 1 S...,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home"
static,Lenovo Yoga 72...,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home"
static,MSI GL62M 7REX,$1199,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home"
static,Acer Predator...,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home"
static,Asus VivoBook...,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd"
static,Dell Latitude...,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux"
static,Galaxy Tab 3,$97.99,"7"", 8GB, Wi-Fi, Android 4.2, White"
static,Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1"
static,IdeaTab A3500-...,$148.99,"Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2"
static,ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit"
static,MSI GL72M 7RDX,$1099,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home"
static,Hewlett Packar...,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS"
static,HP 250 G3,$520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1"
static,MSI GL62VR 7RF...,$1299,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home"
static,Acer Aspire ES...,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux"
static,Apple MacBook...,$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG"
static,Acer Aspire 3...,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home"
static,Lenovo Yoga 72...,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home"
static,Dell XPS 13,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1"
static,Dell Latitude...,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux"
static,Dell Vostro 15...,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux"
static,iPad Mini Reti...,$537.99,"Wi-Fi + Cellular, 32GB, Silver"
static,Acer Aspire ES...,$469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home"
static,Acer Extensa 1...,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux"
static,iPad Mini Reti...,$537.99,"Wi-Fi + Cellular, 32GB, Silver"
static,Asus ROG Strix...,$1399,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd"
static,Acer Aspire A3...,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG"
static,Galaxy Note 10...,$587.99,"10.1"", 32GB, Black"
static,Acer Aspire ES...,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux"
static,Nokia 123,$24.99,7 day battery
static,Lenovo ThinkPa...,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro"
static,Toshiba Porteg...,$1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
static,ThinkPad X230,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit"
static,ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit"
static,Acer Aspire 3...,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home"
static,Galaxy Tab 3,$107.99,"7"", 8GB, Wi-Fi, Android 4.2, Yellow"
static,Inspiron 15,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,"
static,HP 350 G1,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows"
static,Asus VivoBook...,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd"
static,Lenovo ThinkPa...,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro"
static,Acer Aspire ES...,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux"
static,Galaxy Note 10...,$587.99,"10.1"", 32GB, Black"
static,Dell Inspiron...,$679,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux"
static,Acer Aspire 3...,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
static,Dell Latitude...,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux"
static,Toshiba Porteg...,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro"
static,MeMO Pad 7,$130.99,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4"
static,Asus VivoBook...,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd"
static,Lenovo IdeaPad...,$1212.16,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
static,Lenovo ThinkPa...,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro"
static,Asus ROG STRIX...,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS"
static,Apple MacBook...,$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG"
static,Acer Iconia,$96.99,"7"" screen, Android, 16GB"
static,MSI GL72M 7RDX,$1099,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd"
static,Nokia 123,$24.99,7 day battery
static,Samsung Galaxy,$93.99,5 mpx. Android 5.0
static,Iphone,$899.99,White
static,Lenovo V510 Bl...,$498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro"
static,MeMO Pad 7,$130.99,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4"
static,Apple MacBook...,$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG"
static,Acer Nitro 5 A...,$1140.62,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home"
static,Dell XPS 13,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1"
static,Dell Latitude...,$1133.82,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro"
static,MSI GL62M 7REX,$1199,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home"
static,Ubuntu Edge,$499.99,Sapphire glass
static,Acer Aspire 3...,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home"
static,Acer Spin 5,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home"
static,Lenovo ThinkPa...,$1362.24,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
static,Lenovo V110-15...,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd"
static,Asus ASUSPRO B...,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd"
static,iPad Mini Reti...,$537.99,"Wi-Fi + Cellular, 32GB, Silver"
static,Lenovo Legion...,$1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS"
static,Acer Aspire 3...,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home"
static,Aspire E1-510,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux"
static,Apple iPad Air,$603.99,"Wi-Fi, 64GB, Silver"
static,IdeaTab A3500-...,$148.99,"Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2"
static,Dell Vostro 15,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux"
static,Acer Aspire 7...,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home"
static,Lenovo Legion...,$1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS"
static,Toshiba Porteg...,$1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro"
static,Samsung Galaxy,$93.99,5 mpx. Android 5.0
static,Asus EeeBook R...,$433.3,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd"
static,Memo Pad HD 7,$101.99,"IPS, Dual-Core 1.2GHz, 8GB, Android 4.3"
static,Asus VivoBook...,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd"
static,ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit"
static,Lenovo V510 Bl...,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home"
static,Toshiba Porteg...,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro"
static,Lenovo ThinkPa...,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home"
static,Toshiba Porteg...,$1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro"
static,Lenovo ThinkPa...,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro"
static,Asus ROG STRIX...,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS"
static,Dell Latitude...,$1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux"
static,Asus ZenBook U...,$1239.2,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd"
static,Lenovo V510 Bl...,$487.8,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home"
static,ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit"
static,Dell Latitude...,$1144.4,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro"
static,Asus VivoBook...,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home"
static,Asus ROG STRIX...,$899,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home"
static,Acer Predator...,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home"
static,Asus VivoBook...,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd"
static,ThinkPad Yoga,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,"
static,Asus ROG Strix...,$1769,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home"
static,Iphone,$899.99,White
static,Asus VivoBook...,$1235.49,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd"
static,Acer Spin 5,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home"
static,Nokia X,$109.99,"Andoid, Jolla dualboot"
static,Asus AsusPro A...,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG"
static,Apple MacBook...,$1333,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG"
static,Dell Latitude...,$1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro"
static,Lenovo ThinkPa...,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro"
static,iPad Mini Reti...,$537.99,"Wi-Fi + Cellular, 32GB, Silver"
static,Dell Latitude...,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux"
static,Acer Aspire 3...,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home"
static,ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit"
static,Asus ROG STRIX...,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS"
static,Lenovo V110-15...,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
static,Dell Inspiron...,$1144.2,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home"
static,Asus AsusPro A...,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG"
static,Lenovo ThinkPa...,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro"
static,Nokia X,$109.99,"Andoid, Jolla dualboot"
static,Acer Predator...,$1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home"
static,Apple MacBook...,$1347.78,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS"
static,Ubuntu Edge,$499.99,Sapphire glass
static,Asus ROG Strix...,$1399,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd"
static,Lenovo Yoga 91...,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home"
static,Acer Nitro 5 A...,$809,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home"
static,ThinkPad X230,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit"
static,MSI GS63 7RD S...,$1179,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home"
static,Lenovo ThinkPa...,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro"
static,ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit"
static,Asus VivoBook...,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd"
static,MSI GL62M 7REX,$1199,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home"
static,Asus AsusPro A...,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG"
static,Lenovo IdeaTab,$69.99,"7"" screen, Android"
static,Acer Aspire 3...,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux"
static,Acer Predator...,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home"
static,Asus VivoBook...,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd"
static,Lenovo ThinkPa...,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro"
static,Dell Latitude...,$1144.4,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro"
static,Apple MacBook...,$1333,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG"
static,ThinkPad T540p,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit"
static,Dell Latitude...,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home"
static,Lenovo V110-15...,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
static,LG Optimus,$57.99,"3.2"" screen"
static,Lenovo ThinkPa...,$1362.24,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
static,Asus ASUSPRO B...,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd"
static,Dell Latitude...,$1187.88,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro"
static,Lenovo V110-15...,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS"
static,Nokia 123,$24.99,7 day battery
static,Toshiba Porteg...,$1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
static,Lenovo V110-15...,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
static,MeMO Pad 7,$130.99,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4"
